Year,FertilityRatio,Series
1509.921691,0.462758404,Severe Simulation
1518.7012,0.46106454,Severe Simulation
1519.482383,0.477963786,Severe Simulation
1520.778329,0.488313082,Severe Simulation
1521.939161,0.48762743,Severe Simulation
1522.764113,0.488664757,Severe Simulation
1524.418775,0.489015291,Severe Simulation
1525.573898,0.490398584,Severe Simulation
1528.715758,0.491788729,Severe Simulation
1529.557837,0.486619218,Severe Simulation
1530.72533,0.483519796,Severe Simulation
1531.948961,0.46007574,Severe Simulation
1534.840576,0.432154676,Severe Simulation
1535.838701,0.43043398,Severe Simulation
1537.147968,0.435955736,Severe Simulation
1537.75122,0.457337127,Severe Simulation
1538.367794,0.473890977,Severe Simulation
1538.815951,0.491478729,Severe Simulation
1539.13185,0.49699706,Severe Simulation
1540.807445,0.489761458,Severe Simulation
1541.478253,0.486660323,Severe Simulation
1543.810385,0.481495951,Severe Simulation
1544.983587,0.476327583,Severe Simulation
1546.026433,0.458400145,Severe Simulation
1546.722932,0.445988753,Severe Simulation
1547.071182,0.439783058,Severe Simulation
1547.91231,0.434958372,Severe Simulation
1548.933271,0.424961892,Severe Simulation
1550.101716,0.421517646,Severe Simulation
1551.985689,0.398765521,Severe Simulation
1552.821108,0.396009781,Severe Simulation
1555.613766,0.403950446,Severe Simulation
1556.931597,0.406368783,Severe Simulation
1557.910692,0.411544573,Severe Simulation
1558.932605,0.401203269,Severe Simulation
1559.913604,0.405689411,Severe Simulation
1561.20384,0.418107653,Severe Simulation
1562.332322,0.429146027,Severe Simulation
1562.975537,0.436044797,Severe Simulation
1563.94036,0.446392951,Severe Simulation
1564.424674,0.45087738,Severe Simulation
1565.25153,0.451225059,Severe Simulation
1566.076482,0.452262386,Severe Simulation
1566.763466,0.443299238,Severe Simulation
1567.111716,0.437093542,Severe Simulation
1568.102229,0.43813144,Severe Simulation
1569.246886,0.443307801,Severe Simulation
1570.720763,0.449174953,Severe Simulation
1572.193688,0.455386928,Severe Simulation
1574.205163,0.446428347,Severe Simulation
1575.192822,0.448500718,Severe Simulation
1575.528702,0.446777739,Severe Simulation
1577.027318,0.443679458,Severe Simulation
1578.983606,0.454720687,Severe Simulation
1580.454628,0.461622311,Severe Simulation
1582.28056,0.459904469,Severe Simulation
1583.437586,0.460598114,Severe Simulation
1585.931473,0.45681361,Severe Simulation
1587.078033,0.461300323,Severe Simulation
1588.088528,0.45509691,Severe Simulation
1589.252215,0.453376785,Severe Simulation
1590.077167,0.454414113,Severe Simulation
1591.28272,0.437521718,Severe Simulation
1594.402695,0.446842821,Severe Simulation
1595.370372,0.456156503,Severe Simulation
1596.174391,0.464779965,Severe Simulation
1597.16205,0.466852336,Severe Simulation
1598.30861,0.471339049,Severe Simulation
1600.117415,0.475828045,Severe Simulation
1600.929046,0.481692912,Severe Simulation
1601.615079,0.473074588,Severe Simulation
1602.302064,0.46411144,Severe Simulation
1603.127967,0.464803943,Severe Simulation
1603.938647,0.471013635,Severe Simulation
1606.11949,0.460676328,Severe Simulation
1606.951102,0.459299885,Severe Simulation
1609.600084,0.459309019,Severe Simulation
1610.743789,0.464830204,Severe Simulation
1611.561129,0.468626126,Severe Simulation
1612.210054,0.47345595,Severe Simulation
1612.857075,0.478975423,Severe Simulation
1613.686785,0.478288629,Severe Simulation
1614.672541,0.481050648,Severe Simulation
1616.519406,0.471746672,Severe Simulation
1617.678335,0.471750668,Severe Simulation
1619.164581,0.473135104,Severe Simulation
1621.49481,0.46866038,Severe Simulation
1621.991494,0.468662093,Severe Simulation
1624.15616,0.464186799,Severe Simulation
1510.828473,0.434140841,Moderate Simulation
1512.156769,0.432766111,Moderate Simulation
1513.982702,0.43104827,Moderate Simulation
1515.642121,0.429674681,Moderate Simulation
1517.468053,0.42795684,Moderate Simulation
1518.795399,0.426926934,Moderate Simulation
1519.600369,0.435205572,Moderate Simulation
1520.243584,0.442104342,Moderate Simulation
1520.561386,0.446933024,Moderate Simulation
1522.383512,0.446594479,Moderate Simulation
1525.696642,0.445916249,Moderate Simulation
1527.84894,0.445923671,Moderate Simulation
1528.842308,0.445927096,Moderate Simulation
1530.182022,0.440414474,Moderate Simulation
1531.020296,0.436624261,Moderate Simulation
1531.19442,0.433521414,Moderate Simulation
1531.712037,0.425936992,Moderate Simulation
1532.221091,0.421455988,Moderate Simulation
1532.731096,0.416630161,Moderate Simulation
1533.243004,0.411114685,Moderate Simulation
1533.751106,0.406978506,Moderate Simulation
1534.433333,0.399739479,Moderate Simulation
1534.771116,0.39732685,Moderate Simulation
1535.437168,0.395949837,Moderate Simulation
1536.095607,0.397331418,Moderate Simulation
1536.584679,0.400091725,Moderate Simulation
1537.06043,0.407679572,Moderate Simulation
1537.376329,0.413197903,Moderate Simulation
1537.533326,0.416301893,Moderate Simulation
1537.84637,0.422854696,Moderate Simulation
1538.158463,0.429752324,Moderate Simulation
1538.474362,0.435270655,Moderate Simulation
1538.786454,0.442168283,Moderate Simulation
1539.099499,0.448721086,Moderate Simulation
1540.439213,0.443208465,Moderate Simulation
1541.944489,0.437696414,Moderate Simulation
1542.610541,0.4363194,Moderate Simulation
1544.443133,0.432187788,Moderate Simulation
1544.943624,0.430810204,Moderate Simulation
1545.291873,0.424604508,Moderate Simulation
1545.808539,0.417364911,Moderate Simulation
1546.160594,0.409779918,Moderate Simulation
1546.515505,0.401160452,Moderate Simulation
1546.864706,0.394609932,Moderate Simulation
1548.037908,0.389441564,Moderate Simulation
1549.0465,0.3839278,Moderate Simulation
1550.051286,0.379793334,Moderate Simulation
1550.897171,0.373244526,Moderate Simulation
1551.572738,0.36841927,Moderate Simulation
1551.920987,0.362213574,Moderate Simulation
1552.922919,0.359113581,Moderate Simulation
1554.569017,0.362567533,Moderate Simulation
1555.885896,0.365330695,Moderate Simulation
1557.201823,0.36843868,Moderate Simulation
1558.01726,0.372924251,Moderate Simulation
1558.688069,0.369823116,Moderate Simulation
1559.191414,0.367411058,Moderate Simulation
1559.846047,0.370171936,Moderate Simulation
1560.163849,0.375000618,Moderate Simulation
1560.805161,0.382589037,Moderate Simulation
1561.611083,0.39052285,Moderate Simulation
1561.767129,0.393971664,Moderate Simulation
1563.221024,0.407080126,Moderate Simulation
1564.030753,0.413634642,Moderate Simulation
1566.010828,0.416055263,Moderate Simulation
1566.687346,0.410885182,Moderate Simulation
1567.023226,0.409162203,Moderate Simulation
1568.012788,0.410544925,Moderate Simulation
1569.488568,0.415722428,Moderate Simulation
1570.308762,0.418483877,Moderate Simulation
1571.292615,0.421935545,Moderate Simulation
1571.951055,0.423317126,Moderate Simulation
1573.288866,0.418494153,Moderate Simulation
1573.79126,0.41642692,Moderate Simulation
1574.94448,0.418499862,Moderate Simulation
1575.94546,0.415744693,Moderate Simulation
1576.78183,0.412644129,Moderate Simulation
1578.092048,0.417821061,Moderate Simulation
1580.050239,0.428172641,Moderate Simulation
1582.035072,0.42886914,Moderate Simulation
1582.859073,0.430251292,Moderate Simulation
1585.017079,0.428189768,Moderate Simulation
1585.681228,0.427502403,Moderate Simulation
1586.996204,0.430955213,Moderate Simulation
1587.996232,0.428544868,Moderate Simulation
1588.995309,0.426479348,Moderate Simulation
1590.311236,0.429587334,Moderate Simulation
1590.992512,0.422693131,Moderate Simulation
1591.00393,0.418555239,Moderate Simulation
1592.319857,0.421663225,Moderate Simulation
1593.470223,0.42477064,Moderate Simulation
1594.289466,0.427876914,Moderate Simulation
1594.93173,0.435120508,Moderate Simulation
1595.578751,0.44063998,Moderate Simulation
1596.067823,0.443400287,Moderate Simulation
1598.369506,0.449270293,Moderate Simulation
1599.68353,0.453067928,Moderate Simulation
1600.826284,0.458933937,Moderate Simulation
1600.986137,0.461003454,Moderate Simulation
1601.834876,0.453420174,Moderate Simulation
1602.181223,0.447904127,Moderate Simulation
1603.009981,0.447562157,Moderate Simulation
1603.664615,0.450323035,Moderate Simulation
1604.148929,0.454807464,Moderate Simulation
1604.99196,0.449293129,Moderate Simulation
1605.662769,0.446191994,Moderate Simulation
1606.989162,0.445506913,Moderate Simulation
1608.148092,0.445510909,Moderate Simulation
1610.133876,0.445862584,Moderate Simulation
1611.272824,0.453107891,Moderate Simulation
1612.248114,0.459662978,Moderate Simulation
1612.734331,0.463457758,Moderate Simulation
1613.890406,0.464496227,Moderate Simulation
1614.704892,0.469326622,Moderate Simulation
1615.380458,0.464501365,Moderate Simulation
1615.885706,0.461399659,Moderate Simulation
1616.056976,0.459331284,Moderate Simulation
1618.374835,0.459339277,Moderate Simulation
1619.033274,0.460720858,Moderate Simulation
1620.694596,0.458657621,Moderate Simulation
1623.02197,0.455217371,Moderate Simulation
1624.354073,0.452463343,Moderate Simulation
1510.164324,0.434828206,Mild Simulation
1513.15204,0.432079888,Mild Simulation
1518.795399,0.426926934,Mild Simulation
1519.112249,0.432100441,Mild Simulation
1519.586097,0.440377937,Mild Simulation
1520.065654,0.446586487,Mild Simulation
1520.537599,0.455553631,Mild Simulation
1520.696499,0.457967972,Mild Simulation
1521.858283,0.456937496,Mild Simulation
1524.182803,0.454531718,Mild Simulation
1526.175248,0.452469623,Mild Simulation
1527.835619,0.450751211,Mild Simulation
1528.665328,0.450064417,Mild Simulation
1529.337089,0.446618457,Mild Simulation
1529.67392,0.444550653,Mild Simulation
1530.841413,0.441451231,Mild Simulation
1531.682541,0.436626545,Mild Simulation
1532.526523,0.430767386,Mild Simulation
1532.868112,0.426975461,Mild Simulation
1533.379069,0.421804809,Mild Simulation
1533.723513,0.41697841,Mild Simulation
1534.234469,0.411807759,Mild Simulation
1534.915745,0.404913556,Mild Simulation
1535.420041,0.402156674,Mild Simulation
1536.740725,0.403540539,Mild Simulation
1537.057575,0.408714045,Mild Simulation
1537.208864,0.413886981,Mild Simulation
1537.362056,0.418370267,Mild Simulation
1537.847322,0.422509872,Mild Simulation
1538.001465,0.426648334,Mild Simulation
1538.480071,0.433201709,Mild Simulation
1538.468653,0.437339601,Mild Simulation
1538.781697,0.443892404,Mild Simulation
1539.10045,0.448376262,Mild Simulation
1540.103333,0.444931444,Mild Simulation
1540.941606,0.441141231,Mild Simulation
1541.778928,0.437695843,Mild Simulation
1542.61625,0.434250454,Mild Simulation
1543.621036,0.430115988,Mild Simulation
1544.292796,0.426670029,Mild Simulation
1544.798995,0.423223498,Mild Simulation
1545.114894,0.428741829,Mild Simulation
1545.592548,0.435640028,Mild Simulation
1545.749546,0.438744017,Mild Simulation
1546.2272,0.445642216,Mild Simulation
1546.548807,0.449091601,Mild Simulation
1546.707708,0.451505942,Mild Simulation
1547.216762,0.447024939,Mild Simulation
1547.729621,0.441164638,Mild Simulation
1548.073113,0.436683064,Mild Simulation
1548.415654,0.432546314,Mild Simulation
1548.928514,0.426686014,Mild Simulation
1549.269151,0.423238913,Mild Simulation
1549.954233,0.414965413,Mild Simulation
1550.637411,0.407381562,Mild Simulation
1551.154077,0.400141964,Mild Simulation
1551.833449,0.39393741,Mild Simulation
1552.339648,0.39049088,Mild Simulation
1552.845847,0.38704435,Mild Simulation
1554.673682,0.384636859,Mild Simulation
1555.664196,0.385674758,Mild Simulation
1556.152316,0.388779889,Mild Simulation
1556.803144,0.392920064,Mild Simulation
1557.126654,0.395679801,Mild Simulation
1557.448262,0.399129185,Mild Simulation
1557.768918,0.402923395,Mild Simulation
1558.253233,0.407407823,Mild Simulation
1558.571986,0.411891681,Mild Simulation
1558.895497,0.414651417,Mild Simulation
1559.37886,0.41948067,Mild Simulation
1560.020172,0.427069089,Mild Simulation
1560.180024,0.429138605,Mild Simulation
1561.351323,0.424659886,Mild Simulation
1562.18579,0.42224897,Mild Simulation
1563.175352,0.423631693,Mild Simulation
1564.16206,0.426048888,Mild Simulation
1564.832869,0.422947753,Mild Simulation
1566.16402,0.42053855,Mild Simulation
1567.008954,0.414334567,Mild Simulation
1567.184981,0.410542071,Mild Simulation
1567.689278,0.407785189,Mild Simulation
1568.690258,0.40503002,Mild Simulation
1571.005262,0.406072485,Mild Simulation
1571.833068,0.40607534,Mild Simulation
1572.49912,0.404698326,Mild Simulation
1572.836903,0.402285698,Mild Simulation
1573.673273,0.399185134,Mild Simulation
1574.497274,0.400567285,Mild Simulation
1574.984443,0.404017241,Mild Simulation
1575.303196,0.408501099,Mild Simulation
1575.786559,0.413330352,Mild Simulation
1576.103409,0.418503858,Mild Simulation
1576.586772,0.423333111,Mild Simulation
1577.065378,0.429886486,Mild Simulation
1577.729526,0.429199121,Mild Simulation
1578.389868,0.429891053,Mild Simulation
1579.377527,0.431963424,Mild Simulation
1579.869454,0.433689258,Mild Simulation
1580.868531,0.431623738,Mild Simulation
1582.036024,0.428524316,Mild Simulation
1583.037004,0.425769147,Mild Simulation
1583.542251,0.422667441,Mild Simulation
1584.047499,0.419565735,Mild Simulation
1584.721162,0.415430126,Mild Simulation
1585.394826,0.411294518,Mild Simulation
1585.734512,0.408192241,Mild Simulation
1586.902005,0.405092819,Mild Simulation
1587.736472,0.402681903,Mild Simulation
1588.906819,0.398548008,Mild Simulation
1589.891624,0.401654852,Mild Simulation
1590.377841,0.405449632,Mild Simulation
1590.866913,0.408209939,Mild Simulation
1591.354082,0.411659895,Mild Simulation
1592.168568,0.41649029,Mild Simulation
1592.495885,0.417870729,Mild Simulation
1593.482592,0.420287924,Mild Simulation
1594.141032,0.421669505,Mild Simulation
1594.626298,0.42580911,Mild Simulation
1595.276173,0.430294109,Mild Simulation
1595.759536,0.435123362,Mild Simulation
1595.921292,0.43650323,Mild Simulation
1597.398974,0.440991084,Mild Simulation
1599.211585,0.444100783,Mild Simulation
1600.204954,0.444104208,Mild Simulation
1601.188807,0.447555877,Mild Simulation
1602.357251,0.44411163,Mild Simulation
1603.024254,0.442389792,Mild Simulation
1604.179377,0.443773086,Mild Simulation
1604.856847,0.438258181,Mild Simulation
1605.870196,0.431020296,Mild Simulation
1606.038612,0.429986394,Mild Simulation
1607.365957,0.428956488,Mild Simulation
1609.346984,0.431032284,Mild Simulation
1610.006375,0.432069041,Mild Simulation
1611.147226,0.438624699,Mild Simulation
1611.961712,0.443455094,Mild Simulation
1612.448881,0.44690505,Mild Simulation
1613.752438,0.454495752,Mild Simulation
1614.73534,0.458292244,Mild Simulation
1615.577419,0.453122734,Mild Simulation
1616.085521,0.448986555,Mild Simulation
1616.590769,0.445884849,Mild Simulation
1617.5927,0.442784856,Mild Simulation
1618.426216,0.440718765,Mild Simulation
1619.419584,0.44072219,Mild Simulation
1620.584222,0.43865724,Mild Simulation
1621.087567,0.436245183,Mild Simulation
1621.422495,0.434867028,Mild Simulation
1622.586182,0.433146902,Mild Simulation
1623.747015,0.43246125,Mild Simulation
1624.413066,0.431084236,Mild Simulation
